game,sea_year,date,opponent,nd_rank,opp_rank,head_coach,result,nd_score,opp_score,month,day,year,site,opp_w,opp_l,opp_t,div-1A
225,1931,11/14/1931,Navy,,,Hunk Anderson,W,20,0,11,14,1931,Home,5,5,1,1
226,1931,11/21/1931,Southern California,,,Hunk Anderson,L,14,16,11,21,1931,Home,10,1,0,1
227,1931,11/28/1931,Army,,,Hunk Anderson,L,0,12,11,28,1931,Home,8,2,1,1
228,1932,10/8/1932,Haskell,,,Hunk Anderson,W,73,0,10,8,1932,Home,1,9,0,0
229,1932,10/15/1932,Drake,,,Hunk Anderson,W,62,0,10,15,1932,Home,2,6,1,1
230,1932,10/22/1932,Carnegie Tech,,,Hunk Anderson,W,42,0,10,22,1932,Home,4,3,2,1
233,1932,11/12/1932,Northwestern,,,Hunk Anderson,W,21,0,11,12,1932,Home,3,4,1,1
234,1932,11/19/1932,Navy,,,Hunk Anderson,W,12,0,11,19,1932,Home,2,6,1,1
235,1932,11/26/1932,Army,,,Hunk Anderson,W,21,0,11,26,1932,Home,8,2,0,1
237,1933,10/7/1933,Kansas,,,Hunk Anderson,T,0,0,10,7,1933,Home,5,4,1,1
240,1933,10/28/1933,Pittsburgh,,,Hunk Anderson,L,0,14,10,28,1933,Home,8,1,0,1
241,1933,11/4/1933,Navy,,,Hunk Anderson,L,0,7,11,4,1933,Home,5,4,0,1
242,1933,11/11/1933,Purdue,,,Hunk Anderson,L,0,19,11,11,1933,Home,6,1,1,1
244,1933,11/25/1933,Southern California,,,Hunk Anderson,L,0,19,11,25,1933,Home,10,1,1,1
245,1933,12/2/1933,Army,,,Hunk Anderson,W,13,12,12,2,1933,Home,9,1,0,1
246,1934,10/6/1934,Texas,,,Elmer Layden,L,6,7,10,6,1934,Home,7,2,1,1
247,1934,10/13/1934,Purdue,,,Elmer Layden,W,18,7,10,13,1934,Home,5,3,0,1
248,1934,10/20/1934,Carnegie Tech,,,Elmer Layden,W,13,0,10,20,1934,Home,4,5,0,1
249,1934,10/27/1934,Wisconsin,,,Elmer Layden,W,19,0,10,27,1934,Home,4,4,0,1
251,1934,11/10/1934,Navy,,,Elmer Layden,L,6,10,11,10,1934,Home,8,1,0,1
253,1934,11/24/1934,Army,,,Elmer Layden,W,12,6,11,24,1934,Home,7,3,0,1
255,1935,9/28/1935,Kansas,,,Elmer Layden,W,28,7,9,28,1935,Home,4,4,1,1
258,1935,10/19/1935,Pittsburgh,,,Elmer Layden,W,9,6,10,19,1935,Home,7,1,2,1
259,1935,10/26/1935,Navy,,,Elmer Layden,W,14,0,10,26,1935,Home,5,4,0,1
261,1935,11/9/1935,Northwestern,,,Elmer Layden,L,7,14,11,9,1935,Home,4,3,1,1
262,1935,11/16/1935,Army,,,Elmer Layden,T,6,6,11,16,1935,Home,6,2,1,1
263,1935,11/23/1935,Southern California,,,Elmer Layden,W,20,13,11,23,1935,Home,5,7,0,1
264,1936,10/3/1936,Carnegie Tech,,,Elmer Layden,W,21,7,10,3,1936,Home,2,6,0,1
265,1936,10/10/1936,Washington,,,Elmer Layden,W,14,6,10,10,1936,Home,3,7,0,1
266,1936,10/17/1936,Wisconsin,,,Elmer Layden,W,27,0,10,17,1936,Home,2,6,0,1
268,1936,10/31/1936,Ohio State,,,Elmer Layden,W,7,2,10,31,1936,Home,5,3,0,1
269,1936,11/7/1936,Navy,13,,Elmer Layden,L,0,3,11,7,1936,Home,6,3,0,1
270,1936,11/14/1936,Army,,,Elmer Layden,W,20,6,11,14,1936,Home,6,3,0,1
271,1936,11/21/1936,Northwestern,11,1,Elmer Layden,W,26,6,11,21,1936,Home,7,1,0,1
273,1937,10/2/1937,Drake,,,Elmer Layden,W,21,0,10,2,1937,Home,8,2,0,1
276,1937,10/23/1937,Navy,,,Elmer Layden,W,9,7,10,23,1937,Home,4,4,1,1
278,1937,11/6/1937,Pittsburgh,12,3,Elmer Layden,L,6,21,11,6,1937,Home,9,0,1,1
279,1937,11/13/1937,Army,18,,Elmer Layden,W,7,0,11,13,1937,Home,7,2,0,1
281,1937,11/27/1937,Southern California,9,,Elmer Layden,W,13,6,11,27,1937,Home,4,4,2,1
282,1938,10/1/1938,Kansas,,,Elmer Layden,W,52,0,10,1,1938,Home,3,6,0,1
284,1938,10/15/1938,Illinois,,,Elmer Layden,W,14,6,10,15,1938,Home,3,5,0,1
285,1938,10/22/1938,Carnegie Tech,5,13,Elmer Layden,W,7,0,10,22,1938,Home,7,2,0,1
286,1938,10/29/1938,Army,7,,Elmer Layden,W,19,7,10,29,1938,Home,8,2,0,1
287,1938,11/5/1938,Navy,4,,Elmer Layden,W,15,0,11,5,1938,Home,4,3,2,1
288,1938,11/12/1938,Minnesota,2,12,Elmer Layden,W,19,0,11,12,1938,Home,6,2,0,1
291,1939,9/30/1939,Purdue,,,Elmer Layden,W,3,0,9,30,1939,Home,3,3,2,1
292,1939,10/7/1939,Georgia Tech,,,Elmer Layden,W,17,14,10,7,1939,Home,8,2,0,1
293,1939,10/14/1939,Southern Methodist,,,Elmer Layden,W,20,19,10,14,1939,Home,6,3,1,1
294,1939,10/21/1939,Navy,2,,Elmer Layden,W,14,7,10,21,1939,Home,3,5,1,1
296,1939,11/4/1939,Army,4,,Elmer Layden,W,14,0,11,4,1939,Home,3,4,2,1
298,1939,11/18/1939,Northwestern,9,,Elmer Layden,W,7,0,11,18,1939,Home,3,4,1,1
299,1939,11/25/1939,Southern California,7,4,Elmer Layden,L,12,20,11,25,1939,Home,8,0,2,1
300,1940,10/5/1940,Pacific,,,Elmer Layden,W,25,7,10,5,1940,Home,1,9,0,0
301,1940,10/12/1940,Georgia Tech,,,Elmer Layden,W,26,20,10,12,1940,Home,3,7,0,1
302,1940,10/19/1940,Carnegie Tech,6,,Elmer Layden,W,61,0,10,19,1940,Home,3,5,0,1
304,1940,11/2/1940,Army,2,,Elmer Layden,W,7,0,11,2,1940,Home,1,7,1,1
305,1940,11/9/1940,Navy,7,,Elmer Layden,W,13,7,11,9,1940,Home,6,2,1,1
306,1940,11/16/1940,Iowa,7,,Elmer Layden,L,0,7,11,16,1940,Home,4,4,0,1
309,1941,9/27/1941,Arizona,,,Frank Leahy,W,38,7,9,27,1941,Home,7,3,0,1
310,1941,10/4/1941,Indiana,,,Frank Leahy,W,19,6,10,4,1941,Home,2,6,0,1
313,1941,10/25/1941,Illinois,7,,Frank Leahy,W,49,14,10,25,1941,Home,2,6,0,1
314,1941,11/1/1941,Army,6,14,Frank Leahy,T,0,0,11,1,1941,Home,5,3,1,1
315,1941,11/8/1941,Navy,7,6,Frank Leahy,W,20,13,11,8,1941,Home,7,1,1,1
317,1941,11/22/1941,Southern California,4,,Frank Leahy,W,20,18,11,22,1941,Home,2,6,1,1
319,1942,10/3/1942,Georgia Tech,,,Frank Leahy,L,6,13,10,3,1942,Home,9,2,0,1
320,1942,10/10/1942,Stanford,,,Frank Leahy,W,27,0,10,10,1942,Home,6,4,0,1
321,1942,10/17/1942,Iowa Pre-Flight,,,Frank Leahy,W,28,0,10,17,1942,Home,7,3,0,1
323,1942,10/31/1942,Navy,4,,Frank Leahy,W,9,0,10,31,1942,Home,5,4,0,1
324,1942,11/7/1942,Army,4,19,Frank Leahy,W,13,0,11,7,1942,Home,6,3,0,1
325,1942,11/14/1942,Michigan,4,6,Frank Leahy,L,20,32,11,14,1942,Home,7,3,0,1
326,1942,11/21/1942,Northwestern,8,,Frank Leahy,W,27,20,11,21,1942,Home,1,9,0,1
328,1942,12/5/1942,Great Lakes Navy,8,,Frank Leahy,T,13,13,12,5,1942,Home,8,3,1,1
330,1943,10/2/1943,Georgia Tech,,,Frank Leahy,W,55,13,10,2,1943,Home,8,3,0,1
333,1943,10/23/1943,Illinois,1,,Frank Leahy,W,47,0,10,23,1943,Home,3,7,0,1
334,1943,10/30/1943,Navy,1,3,Frank Leahy,W,33,6,10,30,1943,Home,8,1,0,1
335,1943,11/6/1943,Army,1,3,Frank Leahy,W,26,0,11,6,1943,Home,7,2,1,1
337,1943,11/20/1943,Iowa Pre-Flight,1,2,Frank Leahy,W,14,13,11,20,1943,Home,9,1,0,1
338,1943,11/27/1943,Great Lakes Navy,1,,Frank Leahy,L,14,19,11,27,1943,Home,10,2,0,1
340,1944,10/7/1944,Tulane,,,Ed McKeever,W,26,0,10,7,1944,Home,4,3,0,1
341,1944,10/14/1944,Dartmouth,1,,Ed McKeever,W,64,0,10,14,1944,Home,2,5,1,1
342,1944,10/21/1944,Wisconsin,1,,Ed McKeever,W,28,13,10,21,1944,Home,3,6,0,1
344,1944,11/4/1944,Navy,2,6,Ed McKeever,L,13,32,11,4,1944,Home,6,3,0,1
345,1944,11/11/1944,Army,5,1,Ed McKeever,L,0,59,11,11,1944,Home,9,0,0,1
346,1944,11/18/1944,Northwestern,11,,Ed McKeever,W,21,0,11,18,1944,Home,1,7,1,1
348,1944,12/2/1944,Great Lakes Navy,9,12,Ed McKeever,W,28,7,12,2,1944,Home,9,2,1,1
349,1945,9/29/1945,Illinois,,,Hugh Devore,W,7,0,9,29,1945,Home,2,6,1,1
351,1945,10/13/1945,Dartmouth,3,,Hugh Devore,W,34,0,10,13,1945,Home,1,6,1,1
353,1945,10/27/1945,Iowa,2,,Hugh Devore,W,56,0,10,27,1945,Home,2,7,0,1
354,1945,11/3/1945,Navy,2,3,Hugh Devore,T,6,6,11,3,1945,Home,7,1,1,1
355,1945,11/10/1945,Army,2,1,Hugh Devore,L,0,48,11,10,1945,Home,9,0,0,1
360,1946,10/5/1946,Pittsburgh,,,Frank Leahy,W,33,0,10,5,1946,Home,3,5,1,1
361,1946,10/12/1946,Purdue,3,,Frank Leahy,W,49,6,10,12,1946,Home,2,6,1,1
363,1946,11/2/1946,Navy,2,,Frank Leahy,W,28,0,11,2,1946,Home,1,8,0,1
364,1946,11/9/1946,Army,2,1,Frank Leahy,T,0,0,11,9,1946,Home,9,0,1,1
365,1946,11/16/1946,Northwestern,2,,Frank Leahy,W,27,0,11,16,1946,Home,4,4,1,1
367,1946,11/30/1946,Southern California,2,16,Frank Leahy,W,26,6,11,30,1946,Home,6,4,0,1
370,1947,10/18/1947,Nebraska,2,,Frank Leahy,W,31,0,10,18,1947,Home,2,7,0,1
371,1947,10/25/1947,Iowa,2,,Frank Leahy,W,21,0,10,25,1947,Home,3,5,1,1
372,1947,11/1/1947,Navy,1,,Frank Leahy,W,27,0,11,1,1947,Home,1,7,1,1
373,1947,11/8/1947,Army,1,9,Frank Leahy,W,27,7,11,8,1947,Home,5,2,2,1
375,1947,11/22/1947,Tulane,2,,Frank Leahy,W,59,6,11,22,1947,Home,2,5,2,1
377,1948,9/25/1948,Purdue,,,Frank Leahy,W,28,27,9,25,1948,Home,3,6,0,1
379,1948,10/9/1948,Michigan State,1,,Frank Leahy,W,26,7,10,9,1948,Home,6,2,2,1
382,1948,10/30/1948,Navy,2,,Frank Leahy,W,41,7,10,30,1948,Home,0,8,1,1
384,1948,11/13/1948,Northwestern,2,8,Frank Leahy,W,12,7,11,13,1948,Home,8,2,0,1
385,1948,11/27/1948,Washington,2,,Frank Leahy,W,46,0,11,27,1948,Home,2,7,1,1
387,1949,9/24/1949,Indiana,,,Frank Leahy,W,49,6,9,24,1949,Home,1,8,0,1
390,1949,10/15/1949,Tulane,1,4,Frank Leahy,W,46,7,10,15,1949,Home,7,2,1,1
391,1949,10/29/1949,Navy,1,,Frank Leahy,W,40,0,10,29,1949,Home,3,5,1,1
393,1949,11/12/1949,North Carolina,1,,Frank Leahy,W,42,6,11,12,1949,Home,7,4,0,1
394,1949,11/19/1949,Iowa,1,,Frank Leahy,W,28,7,11,19,1949,Home,4,5,0,1
395,1949,11/26/1949,Southern California,1,17,Frank Leahy,W,32,0,11,26,1949,Home,5,3,1,1
397,1950,9/30/1950,North Carolina,1,20,Frank Leahy,W,14,7,9,30,1950,Home,3,5,2,1
398,1950,10/7/1950,Purdue,1,,Frank Leahy,L,14,28,10,7,1950,Home,2,7,0,1
401,1950,10/28/1950,Michigan State,,15,Frank Leahy,L,33,36,10,28,1950,Home,8,1,0,1
402,1950,11/4/1950,Navy,,,Frank Leahy,W,19,10,11,4,1950,Home,3,6,0,1
403,1950,11/11/1950,Pittsburgh,,,Frank Leahy,W,18,7,11,11,1950,Home,1,8,0,1
406,1951,9/29/1951,Indiana,14,,Frank Leahy,W,48,6,9,29,1951,Home,2,7,0,1
407,1951,10/5/1951,Detroit Mercy,5,,Frank Leahy,W,40,6,10,5,1951,Home,4,7,0,1
408,1951,10/13/1951,Southern Methodist,5,,Frank Leahy,L,20,27,10,13,1951,Home,3,6,1,1
410,1951,10/27/1951,Purdue,15,,Frank Leahy,W,30,9,10,27,1951,Home,5,4,0,1
411,1951,11/3/1951,Navy,14,,Frank Leahy,W,19,0,11,3,1951,Home,2,6,1,1
414,1951,11/24/1951,Iowa,,,Frank Leahy,T,20,20,11,24,1951,Home,2,5,2,1
418,1952,10/11/1952,Pittsburgh,8,,Frank Leahy,L,19,22,10,11,1952,Home,6,3,0,1
420,1952,10/25/1952,North Carolina,16,,Frank Leahy,W,34,14,10,25,1952,Home,2,6,0,1
421,1952,11/1/1952,Navy,13,,Frank Leahy,W,17,6,11,1,1952,Home,6,2,1,1
422,1952,11/8/1952,Oklahoma,10,4,Frank Leahy,W,27,21,11,8,1952,Home,8,1,1,1
425,1952,11/29/1952,Southern California,7,2,Frank Leahy,W,9,0,11,29,1952,Home,10,1,0,1
428,1953,10/17/1953,Pittsburgh,1,15,Frank Leahy,W,23,14,10,17,1953,Home,3,5,1,1
429,1953,10/24/1953,Georgia Tech,1,4,Frank Leahy,W,27,14,10,24,1953,Home,9,2,1,1
430,1953,10/31/1953,Navy,1,20,Frank Leahy,W,38,7,10,31,1953,Home,4,3,2,1
433,1953,11/21/1953,Iowa,1,20,Frank Leahy,T,14,14,11,21,1953,Home,5,3,1,1
435,1953,12/5/1953,Southern Methodist,2,,Frank Leahy,W,40,14,12,5,1953,Home,5,5,0,1
436,1954,9/25/1954,Texas,2,4,Terry Brennan,W,21,0,9,25,1954,Home,4,5,1,1
437,1954,10/2/1954,Purdue,1,19,Terry Brennan,L,14,27,10,2,1954,Home,5,3,1,1
439,1954,10/16/1954,Michigan State,8,,Terry Brennan,W,20,19,10,16,1954,Home,3,6,0,1
440,1954,10/30/1954,Navy,6,15,Terry Brennan,W,6,0,10,30,1954,Home,8,2,0,1
442,1954,11/13/1954,North Carolina,5,,Terry Brennan,W,42,13,11,13,1954,Home,4,5,1,1
444,1954,11/27/1954,Southern California,4,17,Terry Brennan,W,23,17,11,27,1954,Home,8,4,0,1
446,1955,9/24/1955,Southern Methodist,11,,Terry Brennan,W,17,0,9,24,1955,Home,4,6,0,1
447,1955,10/1/1955,Indiana,4,,Terry Brennan,W,19,0,10,1,1955,Home,3,6,0,1
451,1955,10/29/1955,Navy,9,4,Terry Brennan,W,21,7,10,29,1955,Home,6,2,1,1
454,1955,11/19/1955,Iowa,4,,Terry Brennan,W,17,14,11,19,1955,Home,3,5,1,1
457,1956,10/6/1956,Indiana,17,,Terry Brennan,W,20,6,10,6,1956,Home,3,6,0,1
458,1956,10/13/1956,Purdue,18,,Terry Brennan,L,14,28,10,13,1956,Home,3,4,2,1
459,1956,10/20/1956,Michigan State,,2,Terry Brennan,L,14,47,10,20,1956,Home,7,2,0,1
460,1956,10/27/1956,Oklahoma,,2,Terry Brennan,L,0,40,10,27,1956,Home,10,0,0,1
461,1956,11/3/1956,Navy,,,Terry Brennan,L,7,33,11,3,1956,Home,6,1,2,1
463,1956,11/17/1956,North Carolina,,,Terry Brennan,W,21,14,11,17,1956,Home,2,7,1,1
467,1957,10/5/1957,Indiana,16,,Terry Brennan,W,26,0,10,5,1957,Home,1,8,0,1
468,1957,10/12/1957,Army,12,10,Terry Brennan,W,23,21,10,12,1957,Home,7,2,0,1
469,1957,10/26/1957,Pittsburgh,7,,Terry Brennan,W,13,7,10,26,1957,Home,4,6,0,1
470,1957,11/2/1957,Navy,5,16,Terry Brennan,L,6,20,11,2,1957,Home,9,1,1,1
473,1957,11/23/1957,Iowa,9,8,Terry Brennan,L,13,21,11,23,1957,Home,7,1,1,1
474,1957,11/30/1957,Southern California,12,,Terry Brennan,W,40,12,11,30,1957,Home,1,9,0,1
476,1958,9/27/1958,Indiana,5,,Terry Brennan,W,18,0,9,27,1958,Home,5,3,1,1
478,1958,10/11/1958,Army,4,3,Terry Brennan,L,2,14,10,11,1958,Home,8,0,1,1
479,1958,10/18/1958,Duke,12,,Terry Brennan,W,9,7,10,18,1958,Home,5,5,0,1
480,1958,10/25/1958,Purdue,11,15,Terry Brennan,L,22,29,10,25,1958,Home,6,1,2,1
481,1958,11/1/1958,Navy,,15,Terry Brennan,W,40,20,11,1,1958,Home,6,3,0,1
483,1958,11/15/1958,North Carolina,,11,Terry Brennan,W,34,24,11,15,1958,Home,6,4,0,1
486,1959,9/26/1959,North Carolina,,,Joe Kuharich,W,28,8,9,26,1959,Home,5,5,0,1
490,1959,10/24/1959,Northwestern,,2,Joe Kuharich,L,24,30,10,24,1959,Home,6,3,0,1
491,1959,10/31/1959,Navy,,,Joe Kuharich,W,25,22,10,31,1959,Home,5,4,1,1
492,1959,11/7/1959,Georgia Tech,,19,Joe Kuharich,L,10,14,11,7,1959,Home,6,5,0,1
495,1959,11/28/1959,Southern California,,7,Joe Kuharich,W,16,6,11,28,1959,Home,8,2,0,1
496,1960,9/24/1960,California,,,Joe Kuharich,W,21,7,9,24,1960,Home,2,7,1,1
497,1960,10/1/1960,Purdue,12,,Joe Kuharich,L,19,51,10,1,1960,Home,4,4,1,1
499,1960,10/15/1960,Michigan State,,14,Joe Kuharich,L,0,21,10,15,1960,Home,6,2,1,1
501,1960,10/29/1960,Navy,,4,Joe Kuharich,L,7,14,10,29,1960,Home,9,2,0,1
502,1960,11/5/1960,Pittsburgh,,14,Joe Kuharich,L,13,20,11,5,1960,Home,4,3,3,1
504,1960,11/19/1960,Iowa,,2,Joe Kuharich,L,0,28,11,19,1960,Home,8,1,0,1
506,1961,9/30/1961,Oklahoma,,,Joe Kuharich,W,19,6,9,30,1961,Home,5,5,0,1
508,1961,10/14/1961,Southern California,8,,Joe Kuharich,W,30,0,10,14,1961,Home,4,5,1,1
510,1961,10/28/1961,Northwestern,8,,Joe Kuharich,L,10,12,10,28,1961,Home,4,5,0,1
511,1961,11/4/1961,Navy,,,Joe Kuharich,L,10,13,11,4,1961,Home,7,3,0,1
513,1961,11/18/1961,Syracuse,,10,Joe Kuharich,W,17,15,11,18,1961,Home,8,3,0,1
517,1962,10/6/1962,Purdue,,,Joe Kuharich,L,6,24,10,6,1962,Home,4,4,1,1
519,1962,10/20/1962,Michigan State,,,Joe Kuharich,L,7,31,10,20,1962,Home,5,4,0,1
521,1962,11/3/1962,Navy,,,Joe Kuharich,W,20,12,11,3,1962,Home,5,5,0,1
522,1962,11/10/1962,Pittsburgh,,,Joe Kuharich,W,43,22,11,10,1962,Home,5,5,0,1
523,1962,11/17/1962,North Carolina,,,Joe Kuharich,W,21,7,11,17,1962,Home,3,7,0,1
524,1962,11/24/1962,Iowa,,,Joe Kuharich,W,35,12,11,24,1962,Home,4,5,0,1
526,1963,9/28/1963,Wisconsin,,6,Hugh Devore,L,9,14,9,28,1963,Home,5,4,0,1
528,1963,10/12/1963,Southern California,,7,Hugh Devore,W,17,14,10,12,1963,Home,7,3,0,1
529,1963,10/19/1963,UCLA,,,Hugh Devore,W,27,12,10,19,1963,Home,2,8,0,1
531,1963,11/2/1963,Navy,,4,Hugh Devore,L,14,35,11,2,1963,Home,9,2,0,1
532,1963,11/9/1963,Pittsburgh,,8,Hugh Devore,L,7,27,11,9,1963,Home,9,1,0,1
534,1963,11/28/1963,Syracuse,,,Hugh Devore,L,7,14,11,28,1963,Home,8,2,0,1
536,1964,10/3/1964,Purdue,9,,Ara Parseghian,W,34,15,10,3,1964,Home,6,3,0,1
538,1964,10/17/1964,UCLA,4,,Ara Parseghian,W,24,0,10,17,1964,Home,4,6,0,1
539,1964,10/24/1964,Stanford,2,,Ara Parseghian,W,28,6,10,24,1964,Home,5,5,0,1
540,1964,10/31/1964,Navy,2,,Ara Parseghian,W,40,0,10,31,1964,Home,3,6,1,1
542,1964,11/14/1964,Michigan State,1,,Ara Parseghian,W,34,7,11,14,1964,Home,4,5,0,1
543,1964,11/21/1964,Iowa,1,,Ara Parseghian,W,28,0,11,21,1964,Home,3,6,0,1
547,1965,10/2/1965,Northwestern,8,,Ara Parseghian,W,38,7,10,2,1965,Home,4,6,0,1
548,1965,10/9/1965,Army,7,,Ara Parseghian,W,17,0,10,9,1965,Home,4,5,1,1
549,1965,10/23/1965,Southern California,7,4,Ara Parseghian,W,28,7,10,23,1965,Home,7,2,1,1
550,1965,10/30/1965,Navy,4,,Ara Parseghian,W,29,3,10,30,1965,Home,4,4,2,1
552,1965,11/13/1965,North Carolina,4,,Ara Parseghian,W,17,0,11,13,1965,Home,4,6,0,1
553,1965,11/20/1965,Michigan State,4,1,Ara Parseghian,L,3,12,11,20,1965,Home,10,1,0,1
555,1966,9/24/1966,Purdue,8,7,Ara Parseghian,W,26,14,9,24,1966,Home,9,2,0,1
557,1966,10/8/1966,Army,3,,Ara Parseghian,W,35,0,10,8,1966,Home,8,2,0,1
558,1966,10/15/1966,North Carolina,2,,Ara Parseghian,W,32,0,10,15,1966,Home,2,8,0,1
560,1966,10/29/1966,Navy,1,,Ara Parseghian,W,31,7,10,29,1966,Home,4,6,0,1
561,1966,11/5/1966,Pittsburgh,1,,Ara Parseghian,W,40,0,11,5,1966,Home,1,9,0,1
562,1966,11/12/1966,Duke,1,,Ara Parseghian,W,64,0,11,12,1966,Home,5,5,0,1
565,1967,9/23/1967,California,1,,Ara Parseghian,W,41,8,9,23,1967,Home,5,5,0,1
567,1967,10/7/1967,Iowa,6,,Ara Parseghian,W,56,6,10,7,1967,Home,1,8,1,1
568,1967,10/14/1967,Southern California,5,1,Ara Parseghian,L,7,24,10,14,1967,Home,10,1,0,1
570,1967,10/28/1967,Michigan State,,,Ara Parseghian,W,24,12,10,28,1967,Home,3,7,0,1
571,1967,11/4/1967,Navy,10,,Ara Parseghian,W,43,14,11,4,1967,Home,5,4,1,1
575,1968,9/21/1968,Oklahoma,3,5,Ara Parseghian,W,45,21,9,21,1968,Home,7,4,0,1
576,1968,9/28/1968,Purdue,2,1,Ara Parseghian,L,22,37,9,28,1968,Home,8,2,0,1
578,1968,10/12/1968,Northwestern,5,,Ara Parseghian,W,27,7,10,12,1968,Home,1,9,0,1
579,1968,10/19/1968,Illinois,6,,Ara Parseghian,W,58,8,10,19,1968,Home,1,9,0,1
581,1968,11/2/1968,Navy,12,,Ara Parseghian,W,45,14,11,2,1968,Home,2,8,0,1
582,1968,11/9/1968,Pittsburgh,12,,Ara Parseghian,W,56,7,11,9,1968,Home,1,9,0,1
583,1968,11/16/1968,Georgia Tech,9,,Ara Parseghian,W,34,6,11,16,1968,Home,4,6,0,1
585,1969,9/20/1969,Northwestern,11,,Ara Parseghian,W,35,10,9,20,1969,Home,3,7,0,1
587,1969,10/4/1969,Michigan State,,14,Ara Parseghian,W,42,28,10,4,1969,Home,4,6,0,1
588,1969,10/11/1969,Army,15,,Ara Parseghian,W,45,0,10,11,1969,Home,4,5,1,1
589,1969,10/18/1969,Southern California,11,3,Ara Parseghian,T,14,14,10,18,1969,Home,10,0,1,1
591,1969,11/1/1969,Navy,10,,Ara Parseghian,W,47,0,11,1,1969,Home,1,9,0,1
594,1969,11/22/1969,Air Force,8,,Ara Parseghian,W,13,6,11,22,1969,Home,6,4,0,1
597,1970,9/26/1970,Purdue,6,,Ara Parseghian,W,48,0,9,26,1970,Home,4,6,0,1
599,1970,10/10/1970,Army,3,,Ara Parseghian,W,51,10,10,10,1970,Home,1,9,1,1
601,1970,10/31/1970,Navy,3,,Ara Parseghian,W,56,7,10,31,1970,Home,2,9,0,1
602,1970,11/7/1970,Pittsburgh,2,,Ara Parseghian,W,46,14,11,7,1970,Home,5,5,0,1
603,1970,11/14/1970,Georgia Tech,1,,Ara Parseghian,W,10,7,11,14,1970,Home,9,3,0,1
604,1970,11/21/1970,Louisiana State,2,7,Ara Parseghian,W,3,0,11,21,1970,Home,9,3,0,1
607,1971,9/18/1971,Northwestern,2,,Ara Parseghian,W,50,7,9,18,1971,Home,7,4,0,1
609,1971,10/2/1971,Michigan State,4,,Ara Parseghian,W,14,2,10,2,1971,Home,6,5,0,1
611,1971,10/16/1971,North Carolina,7,,Ara Parseghian,W,16,0,10,16,1971,Home,9,3,0,1
612,1971,10/23/1971,Southern California,6,,Ara Parseghian,L,14,28,10,23,1971,Home,6,4,1,1
613,1971,10/30/1971,Navy,12,,Ara Parseghian,W,21,0,10,30,1971,Home,3,8,0,1
615,1971,11/13/1971,Tulane,8,,Ara Parseghian,W,21,7,11,13,1971,Home,3,8,0,1
618,1972,9/30/1972,Purdue,10,,Ara Parseghian,W,35,14,9,30,1972,Home,6,5,0,1
620,1972,10/14/1972,Pittsburgh,7,,Ara Parseghian,W,42,16,10,14,1972,Home,1,10,0,1
621,1972,10/21/1972,Missouri,8,,Ara Parseghian,L,26,30,10,21,1972,Home,6,6,0,1
622,1972,10/28/1972,Texas Christian,13,,Ara Parseghian,W,21,0,10,28,1972,Home,5,6,0,1
623,1972,11/4/1972,Navy,12,,Ara Parseghian,W,42,23,11,4,1972,Home,4,7,0,1
625,1972,11/18/1972,Miami,10,,Ara Parseghian,W,20,17,11,18,1972,Home,5,6,0,1
628,1973,9/22/1973,Northwestern,8,,Ara Parseghian,W,44,0,9,22,1973,Home,4,7,0,1
630,1973,10/6/1973,Michigan State,8,,Ara Parseghian,W,14,10,10,6,1973,Home,5,6,0,1
633,1973,10/27/1973,Southern California,8,6,Ara Parseghian,W,23,14,10,27,1973,Home,9,2,1,1
634,1973,11/3/1973,Navy,5,,Ara Parseghian,W,44,7,11,3,1973,Home,4,7,0,1
636,1973,11/22/1973,Air Force,5,,Ara Parseghian,W,48,15,11,22,1973,Home,6,4,0,1
641,1974,9/28/1974,Purdue,2,,Ara Parseghian,L,20,31,9,28,1974,Home,4,6,1,1
643,1974,10/12/1974,Rice,6,,Ara Parseghian,W,10,3,10,12,1974,Home,2,8,1,1
644,1974,10/19/1974,Army,7,,Ara Parseghian,W,48,0,10,19,1974,Home,3,8,0,1
645,1974,10/26/1974,Miami,7,,Ara Parseghian,W,38,7,10,26,1974,Home,6,5,0,1
646,1974,11/2/1974,Navy,7,,Ara Parseghian,W,14,6,11,2,1974,Home,4,7,0,1
647,1974,11/16/1974,Pittsburgh,5,17,Ara Parseghian,W,14,10,11,16,1974,Home,7,4,0,1
648,1974,11/23/1974,Air Force,5,,Ara Parseghian,W,38,0,11,23,1974,Home,2,9,0,1
651,1975,9/15/1975,Boston College,9,,Dan Devine,W,17,3,9,15,1975,Home,7,4,0,1
653,1975,9/27/1975,Northwestern,7,,Dan Devine,W,31,7,9,27,1975,Home,3,8,0,1
654,1975,10/4/1975,Michigan State,8,,Dan Devine,L,3,10,10,4,1975,Home,7,4,0,1
657,1975,10/25/1975,Southern California,14,3,Dan Devine,L,17,24,10,25,1975,Home,7,4,0,1
658,1975,11/1/1975,Navy,15,,Dan Devine,W,31,10,11,1,1975,Home,7,4,0,1
659,1975,11/8/1975,Georgia Tech,12,,Dan Devine,W,24,3,11,8,1975,Home,7,4,0,1
662,1976,9/11/1976,Pittsburgh,11,9,Dan Devine,L,10,31,9,11,1976,Home,12,0,0,1
663,1976,9/18/1976,Purdue,,,Dan Devine,W,23,0,9,18,1976,Home,5,6,0,1
666,1976,10/16/1976,Oregon,14,,Dan Devine,W,41,0,10,16,1976,Home,4,7,0,1
